Categorie,Sous_categorie,Produit_process,Unite,Type_prestation,Prestation,Emissions_CO2
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (1 couche),m²,simple,Fourniture matériaux neufs,0.76
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (1 couche),m²,simple,Pose matériaux neufs,0.08
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (1 couche),m²,simple,Pose + fourniture,0.83
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (1 couche),m²,simple,Dépose + fourniture + pose,0.85
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (2 couches),m²,composée,Dépose matériaux sinistrés,0.04
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (2 couches),m²,composée,Fourniture matériaux neufs,1.51
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (2 couches),m²,composée,Pose matériaux neufs,0.15
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (2 couches),m²,composée,Pose + fourniture,1.67
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (2 couches),m²,composée,Dépose + fourniture + pose,1.71
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (3 couches),m²,composée,Dépose matériaux sinistrés,0.06
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (3 couches),m²,composée,Fourniture matériaux neufs,2.27
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (3 couches),m²,composée,Pose matériaux neufs,0.23
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (3 couches),m²,composée,Pose + fourniture,2.5
Revêtements de sol,Parquet,Ponçage / Lasure / vitrificateur (3 couches),m²,composée,Dépose + fourniture + pose,2.56
Revêtements de sol,Parquet,Ragréage,m²,simple,Dépose matériaux sinistrés,0.07
Revêtements de sol,Parquet,Ragréage,m²,simple,Fourniture matériaux neufs,1.96
Revêtements de sol,Parquet,Ragréage,m²,simple,Pose matériaux neufs,0.21
Revêtements de sol,Parquet,Ragréage,m²,simple,Pose + fourniture,2.17
Revêtements de sol,Parquet,Ragréage,m²,simple,Dépose + fourniture + pose,2.24
Revêtements de sol,Parquet,Replanissage et ponçage du parquet,m²,non matérielle,Dépose matériaux sinistrés,6.47
Revêtements de sol,Parquet,Replanissage et ponçage du parquet,m²,non matérielle,Fourniture matériaux neufs,6.47
Revêtements de sol,Parquet,Replanissage et ponçage du parquet,m²,non matérielle,Pose matériaux neufs,6.47
Revêtements de sol,Parquet,Replanissage et ponçage du parquet,m²,non matérielle,Pose + fourniture,6.47
Revêtements de sol,Parquet,Replanissage et ponçage du parquet,m²,non matérielle,Dépose + fourniture + pose,6.47
Revêtements de sol,Moquette,Moquette en dalle,m²,simple,Dépose matériaux sinistrés,0.45
Revêtements de sol,Moquette,Moquette en dalle,m²,simple,Fourniture matériaux neufs,22.32
Revêtements de sol,Moquette,Moquette en dalle,m²,simple,Pose matériaux neufs,1.63
Revêtements de sol,Moquette,Moquette en dalle,m²,simple,Pose + fourniture,23.95
Revêtements de sol,Moquette,Moquette en dalle,m²,simple,Dépose + fourniture + pose,24.4
Revêtements de sol,Moquette,Moquette en lès,m²,simple,Dépose matériaux sinistrés,0.23
Revêtements de sol,Moquette,Moquette en lès,m²,simple,Fourniture matériaux neufs,16.5
Revêtements de sol,Moquette,Moquette en lès,m²,simple,Pose matériaux neufs,1.1
Revêtements de sol,Moquette,Moquette en lès,m²,simple,Pose + fourniture,17.6
Revêtements de sol,Moquette,Moquette en lès,m²,simple,Dépose + fourniture + pose,17.82
Revêtements de sol,Moquette,Jonc de mer,m²,simple,Dépose matériaux sinistrés,0.5
Revêtements de sol,Moquette,Jonc de mer,m²,simple,Fourniture matériaux neufs,13.14
Revêtements de sol,Moquette,Jonc de mer,m²,simple,Pose matériaux neufs,1.48
Revêtements de sol,Moquette,Jonc de mer,m²,simple,Pose + fourniture,14.62
Revêtements de sol,Moquette,Jonc de mer,m²,simple,Dépose + fourniture + pose,15.12
Revêtements de sol,Moquette,Nettoyage moquette,m²,non matérielle,Dépose matériaux sinistrés,6.47
Revêtements de sol,Moquette,Nettoyage moquette,m²,non matérielle,Fourniture matériaux neufs,6.47
Revêtements de sol,Moquette,Nettoyage moquette,m²,non matérielle,Pose matériaux neufs,6.47
Revêtements de sol,Moquette,Nettoyage moquette,m²,non matérielle,Pose + fourniture,6.47
Revêtements de sol,Moquette,Nettoyage moquette,m²,non matérielle,Dépose + fourniture + pose,6.47
Revêtements de sol,Moquette,Ragréage,m²,simple,Dépose matériaux sinistrés,0.07
Revêtements de sol,Moquette,Ragréage,m²,simple,Fourniture matériaux neufs,1.96
Revêtements de sol,Moquette,Ragréage,m²,simple,Pose matériaux neufs,0.21
Revêtements de sol,Moquette,Ragréage,m²,simple,Pose + fourniture,2.17
Revêtements de sol,Moquette,Ragréage,m²,simple,Dépose + fourniture + pose,2.24
Revêtements de sol,PVC / Lino,Sol PVC en dalle,m²,simple,Dépose matériaux sinistrés,5.84
Revêtements de sol,PVC / Lino,Sol PVC en dalle,m²,simple,Fourniture matériaux neufs,66.4
Revêtements de sol,PVC / Lino,Sol PVC en dalle,m²,simple,Pose matériaux neufs,8.83
Revêtements de sol,PVC / Lino,Sol PVC en dalle,m²,simple,Pose + fourniture,75.23
Revêtements de sol,PVC / Lino,Sol PVC en dalle,m²,simple,Dépose + fourniture + pose,81.08
Revêtements de sol,PVC / Lino,Sol PVC en lès,m²,simple,Dépose matériaux sinistrés,5.84
Revêtements de sol,PVC / Lino,Sol PVC en lès,m²,simple,Fourniture matériaux neufs,66.4
Revêtements de sol,PVC / Lino,Sol PVC en lès,m²,simple,Pose matériaux neufs,8.83
Revêtements de sol,PVC / Lino,Sol PVC en lès,m²,simple,Pose + fourniture,75.23
Revêtements de sol,PVC / Lino,Sol PVC en lès,m²,simple,Dépose + fourniture + pose,81.08
Revêtements de sol,PVC / Lino,Linoleum,m²,simple,Dépose matériaux sinistrés,6.02
Revêtements de sol,PVC / Lino,Linoleum,m²,simple,Fourniture matériaux neufs,29.26
Revêtements de sol,PVC / Lino,Linoleum,m²,simple,Pose matériaux neufs,3.22
Revêtements de sol,PVC / Lino,Linoleum,m²,simple,Pose + fourniture,32.48
Revêtements de sol,PVC / Lino,Linoleum,m²,simple,Dépose + fourniture + pose,38.5
Revêtements de sol,PVC / Lino,Ragréage,m²,simple,Dépose matériaux sinistrés,0.07
Revêtements de sol,PVC / Lino,Ragréage,m²,simple,Fourniture matériaux neufs,1.96
Revêtements de sol,PVC / Lino,Ragréage,m²,simple,Pose matériaux neufs,0.21
Revêtements de sol,PVC / Lino,Ragréage,m²,simple,Pose + fourniture,2.17
Revêtements de sol,PVC / Lino,Ragréage,m²,simple,Dépose + fourniture + pose,2.24
Revêtements de sol,Carrelage,Carrelage en grès,m²,simple,Dépose matériaux sinistrés,0.71
Revêtements de sol,Carrelage,Carrelage en grès,m²,simple,Fourniture matériaux neufs,29.29
Revêtements de sol,Carrelage,Carrelage en grès,m²,simple,Pose matériaux neufs,6.74
Revêtements de sol,Carrelage,Carrelage en grès,m²,simple,Pose + fourniture,36.03
Revêtements de sol,Carrelage,Carrelage en grès,m²,simple,Dépose + fourniture + pose,36.74
Revêtements de sol,Carrelage,Carrelage en pierre naturelle,m²,simple,Dépose matériaux sinistrés,7.7
Revêtements de sol,Carrelage,Carrelage en pierre naturelle,m²,simple,Fourniture matériaux neufs,42.46
Revêtements de sol,Carrelage,Carrelage en pierre naturelle,m²,simple,Pose matériaux neufs,9.57
Revêtements de sol,Carrelage,Carrelage en pierre naturelle,m²,simple,Pose + fourniture,52.04
Revêtements de sol,Carrelage,Carrelage en pierre naturelle,m²,simple,Dépose + fourniture + pose,59.73
Revêtements de sol,Carrelage,Etanchéité sous carrelage,m²,simple,Dépose matériaux sinistrés,0.42
Revêtements de sol,Carrelage,Etanchéité sous carrelage,m²,simple,Fourniture matériaux neufs,7.08
Revêtements de sol,Carrelage,Etanchéité sous carrelage,m²,simple,Pose matériaux neufs,0.61
Revêtements de sol,Carrelage,Etanchéité sous carrelage,m²,simple,Pose + fourniture,7.69
Revêtements de sol,Carrelage,Etanchéité sous carrelage,m²,simple,Dépose + fourniture + pose,8.11
Revêtements de sol,Carrelage,Primaire,m²,simple,Dépose matériaux sinistrés,0.03
Revêtements de sol,Carrelage,Primaire,m²,simple,Fourniture matériaux neufs,0.72
Revêtements de sol,Carrelage,Primaire,m²,simple,Pose matériaux neufs,0.13
Revêtements de sol,Carrelage,Primaire,m²,simple,Pose + fourniture,0.84
Revêtements de sol,Carrelage,Primaire,m²,simple,Dépose + fourniture + pose,0.87
Revêtements de sol,Carrelage,Plinthe carrelées,m²,simple,Dépose matériaux sinistrés,0.65
Revêtements de sol,Carrelage,Plinthe carrelées,m²,simple,Fourniture matériaux neufs,4.3
Revêtements de sol,Carrelage,Plinthe carrelées,m²,simple,Pose matériaux neufs,0.88
Revêtements de sol,Carrelage,Plinthe carrelées,m²,simple,Pose + fourniture,5.18
Revêtements de sol,Carrelage,Plinthe carrelées,m²,simple,Dépose + fourniture + pose,5.83
Revêtements de sol,Carrelage,Cristallisation du marbre,m²,non matérielle,Dépose matériaux sinistrés,3.44
Revêtements de sol,Carrelage,Cristallisation du marbre,m²,non matérielle,Fourniture matériaux neufs,3.44
Revêtements de sol,Carrelage,Cristallisation du marbre,m²,non matérielle,Pose matériaux neufs,3.44
Revêtements de sol,Carrelage,Cristallisation du marbre,m²,non matérielle,Pose + fourniture,3.44
Revêtements de sol,Carrelage,Cristallisation du marbre,m²,non matérielle,Dépose + fourniture + pose,3.44
Revêtements de sol,Carrelage,"Dégraissage, ponçage, nettoyage",m²,non matérielle,Dépose matériaux sinistrés,6.47
Revêtements de sol,Carrelage,"Dégraissage, ponçage, nettoyage",m²,non matérielle,Fourniture matériaux neufs,6.47
Revêtements de sol,Carrelage,"Dégraissage, ponçage, nettoyage",m²,non matérielle,Pose matériaux neufs,6.47
Revêtements de sol,Carrelage,"Dégraissage, ponçage, nettoyage",m²,non matérielle,Pose + fourniture,6.47
Revêtements de sol,Carrelage,"Dégraissage, ponçage, nettoyage",m²,non matérielle,Dépose + fourniture + pose,6.47
Revêtements de sol,Chape,Chape de ciment,m²,simple,Dépose matériaux sinistrés,1.55
Revêtements de sol,Chape,Chape de ciment,m²,simple,Fourniture matériaux neufs,18.73
Revêtements de sol,Chape,Chape de ciment,m²,simple,Pose matériaux neufs,0.76
Revêtements de sol,Chape,Chape de ciment,m²,simple,Pose + fourniture,19.48
Revêtements de sol,Chape,Chape de ciment,m²,simple,Dépose + fourniture + pose,21.03
Revêtements de sol,Chape,Reprise pontuelle au mortier,m²,simple,Dépose matériaux sinistrés,0.07
Revêtements de sol,Chape,Reprise pontuelle au mortier,m²,simple,Fourniture matériaux neufs,1.96
Revêtements de sol,Chape,Reprise pontuelle au mortier,m²,simple,Pose matériaux neufs,0.21
Revêtements de sol,Chape,Reprise pontuelle au mortier,m²,simple,Pose + fourniture,2.17
Revêtements de sol,Chape,Reprise pontuelle au mortier,m²,simple,Dépose + fourniture + pose,2.24
Revêtements de sol,Plinthe,Plinthe en bois massif,ml,simple,Dépose matériaux sinistrés,0.27
Revêtements de sol,Plinthe,Plinthe en bois massif,ml,simple,Fourniture matériaux neufs,0.59
Revêtements de sol,Plinthe,Plinthe en bois massif,ml,simple,Pose matériaux neufs,0.43
Revêtements de sol,Plinthe,Plinthe en bois massif,ml,simple,Pose + fourniture,1.02
Revêtements de sol,Plinthe,Plinthe en bois massif,ml,simple,Dépose + fourniture + pose,1.28
Revêtements de sol,Plinthe,Plinthe contrecollé,ml,simple,Dépose matériaux sinistrés,0.27
Revêtements de sol,Plinthe,Plinthe contrecollé,ml,simple,Fourniture matériaux neufs,0.59
Revêtements de sol,Plinthe,Plinthe contrecollé,ml,simple,Pose matériaux neufs,0.43
Revêtements de sol,Plinthe,Plinthe contrecollé,ml,simple,Pose + fourniture,1.02
Revêtements de sol,Plinthe,Plinthe contrecollé,ml,simple,Dépose + fourniture + pose,1.28
Revêtements de sol,Plinthe,Plinthe flottant,ml,simple,Dépose matériaux sinistrés,-0.15
Revêtements de sol,Plinthe,Plinthe flottant,ml,simple,Fourniture matériaux neufs,0.79
Revêtements de sol,Plinthe,Plinthe flottant,ml,simple,Pose matériaux neufs,0.1
Revêtements de sol,Plinthe,Plinthe flottant,ml,simple,Pose + fourniture,0.89
Revêtements de sol,Plinthe,Plinthe flottant,ml,simple,Dépose + fourniture + pose,0.74
Revêtements de sol,Plinthe,Plinthe PVC,ml,simple,Dépose matériaux sinistrés,0.14
Revêtements de sol,Plinthe,Plinthe PVC,ml,simple,Fourniture matériaux neufs,1.04
Revêtements de sol,Plinthe,Plinthe PVC,ml,simple,Pose matériaux neufs,0.11
Revêtements de sol,Plinthe,Plinthe PVC,ml,simple,Pose + fourniture,1.15
Revêtements de sol,Plinthe,Plinthe PVC,ml,simple,Dépose + fourniture + pose,1.29
Revêtements de sol,Plinthe,Plinthe carrelage,ml,simple,Dépose matériaux sinistrés,0.65
Revêtements de sol,Plinthe,Plinthe carrelage,ml,simple,Fourniture matériaux neufs,4.3
Revêtements de sol,Plinthe,Plinthe carrelage,ml,simple,Pose matériaux neufs,0.88
Revêtements de sol,Plinthe,Plinthe carrelage,ml,simple,Pose + fourniture,5.18
Revêtements de sol,Plinthe,Plinthe carrelage,ml,simple,Dépose + fourniture + pose,5.83
Revêtements de sol,Plinthe,Plinthe en pierre,ml,simple,Dépose matériaux sinistrés,0.67
Revêtements de sol,Plinthe,Plinthe en pierre,ml,simple,Fourniture matériaux neufs,4.78
Revêtements de sol,Plinthe,Plinthe en pierre,ml,simple,Pose matériaux neufs,0.82
Revêtements de sol,Plinthe,Plinthe en pierre,ml,simple,Pose + fourniture,5.6
Revêtements de sol,Plinthe,Plinthe en pierre,ml,simple,Dépose + fourniture + pose,6.27
Revêtements de sol,Autres,Barre de seuil,ml,simple,Dépose matériaux sinistrés,0.21
Revêtements de sol,Autres,Barre de seuil,ml,simple,Fourniture matériaux neufs,2.13
Revêtements de sol,Autres,Barre de seuil,ml,simple,Pose matériaux neufs,0.15
Revêtements de sol,Autres,Barre de seuil,ml,simple,Pose + fourniture,2.28
Revêtements de sol,Autres,Barre de seuil,ml,simple,Dépose + fourniture + pose,2.49
Revêtements de sol,Autres,1/4 rond - bois,ml,simple,Dépose matériaux sinistrés,0.07
Revêtements de sol,Autres,1/4 rond - bois,ml,simple,Fourniture matériaux neufs,0.15
Revêtements de sol,Autres,1/4 rond - bois,ml,simple,Pose matériaux neufs,0.11
Revêtements de sol,Autres,1/4 rond - bois,ml,simple,Pose + fourniture,0.25
Revêtements de sol,Autres,1/4 rond - bois,ml,simple,Dépose + fourniture + pose,0.32
Revêtements de sol,Autres,1/4 rond - PVC,ml,simple,Dépose matériaux sinistrés,0.04
Revêtements de sol,Autres,1/4 rond - PVC,ml,simple,Fourniture matériaux neufs,0.26
Revêtements de sol,Autres,1/4 rond - PVC,ml,simple,Pose matériaux neufs,0.03
Revêtements de sol,Autres,1/4 rond - PVC,ml,simple,Pose + fourniture,0.29
Revêtements de sol,Autres,1/4 rond - PVC,ml,simple,Dépose + fourniture + pose,0.32
Revêtements de sol,Autres,1/4 rond - carrelage,ml,simple,Dépose matériaux sinistrés,0.16
Revêtements de sol,Autres,1/4 rond - carrelage,ml,simple,Fourniture matériaux neufs,1.08
Revêtements de sol,Autres,1/4 rond - carrelage,ml,simple,Pose matériaux neufs,0.22
Revêtements de sol,Autres,1/4 rond - carrelage,ml,simple,Pose + fourniture,1.3
Revêtements de sol,Autres,1/4 rond - carrelage,ml,simple,Dépose + fourniture + pose,1.46
Revêtements murs et plafonds,Préparation,"Brossage surface, nettoyage",m²,non matérielle,Dépose matériaux sinistrés,3.44
Revêtements murs et plafonds,Préparation,"Brossage surface, nettoyage",m²,non matérielle,Fourniture matériaux neufs,3.44
Revêtements murs et plafonds,Préparation,"Brossage surface, nettoyage",m²,non matérielle,Pose matériaux neufs,3.44
Revêtements murs et plafonds,Préparation,"Brossage surface, nettoyage",m²,non matérielle,Pose + fourniture,3.44
Revêtements murs et plafonds,Préparation,"Brossage surface, nettoyage",m²,non matérielle,Dépose + fourniture + pose,3.44
Revêtements murs et plafonds,Préparation,Piochage du support et enduit de rebouchage,m²,non matérielle,Dépose matériaux sinistrés,3.44
Revêtements murs et plafonds,Préparation,Piochage du support et enduit de rebouchage,m²,non matérielle,Fourniture matériaux neufs,3.44
Revêtements murs et plafonds,Préparation,Piochage du support et enduit de rebouchage,m²,non matérielle,Pose matériaux neufs,3.44
Revêtements murs et plafonds,Préparation,Piochage du support et enduit de rebouchage,m²,non matérielle,Pose + fourniture,3.44
Revêtements murs et plafonds,Préparation,Piochage du support et enduit de rebouchage,m²,non matérielle,Dépose + fourniture + pose,3.44
Revêtements murs et plafonds,Peinture,Couche d'impression,m²,simple,Dépose matériaux sinistrés,0.02
Revêtements murs et plafonds,Peinture,Couche d'impression,m²,simple,Fourniture matériaux neufs,0.67
Revêtements murs et plafonds,Peinture,Couche d'impression,m²,simple,Pose matériaux neufs,0.07
Revêtements murs et plafonds,Peinture,Couche d'impression,m²,simple,Pose + fourniture,0.74
Revêtements murs et plafonds,Peinture,Couche d'impression,m²,simple,Dépose + fourniture + pose,0.76
Revêtements murs et plafonds,Peinture,1 couche peinture aqueuse,m²,simple,Dépose matériaux sinistrés,0.04
Revêtements murs et plafonds,Peinture,1 couche peinture aqueuse,m²,simple,Fourniture matériaux neufs,1.19
Revêtements murs et plafonds,Peinture,1 couche peinture aqueuse,m²,simple,Pose matériaux neufs,0.11
Revêtements murs et plafonds,Peinture,1 couche peinture aqueuse,m²,simple,Pose + fourniture,1.3
Revêtements murs et plafonds,Peinture,1 couche peinture aqueuse,m²,simple,Dépose + fourniture + pose,1.34
Revêtements murs et plafonds,Peinture,2 couches peinture aqueuse,m²,composée,Dépose matériaux sinistrés,0.08
Revêtements murs et plafonds,Peinture,2 couches peinture aqueuse,m²,composée,Fourniture matériaux neufs,2.38
Revêtements murs et plafonds,Peinture,2 couches peinture aqueuse,m²,composée,Pose matériaux neufs,0.21
Revêtements murs et plafonds,Peinture,2 couches peinture aqueuse,m²,composée,Pose + fourniture,2.59
Revêtements murs et plafonds,Peinture,2 couches peinture aqueuse,m²,composée,Dépose + fourniture + pose,2.68
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture aqueuse,m²,composée,Dépose matériaux sinistrés,0.07
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture aqueuse,m²,composée,Fourniture matériaux neufs,1.86
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture aqueuse,m²,composée,Pose matériaux neufs,0.17
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture aqueuse,m²,composée,Pose + fourniture,2.04
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture aqueuse,m²,composée,Dépose + fourniture + pose,2.1
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture aqueuse,m²,composée,Dépose matériaux sinistrés,3.55
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture aqueuse,m²,composée,Fourniture matériaux neufs,9.52
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture aqueuse,m²,composée,Pose matériaux neufs,3.72
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture aqueuse,m²,composée,Pose + fourniture,9.8
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture aqueuse,m²,composée,Dépose + fourniture + pose,9.91
Revêtements murs et plafonds,Peinture,1 couche peinture solvant,m²,simple,Dépose matériaux sinistrés,0.04
Revêtements murs et plafonds,Peinture,1 couche peinture solvant,m²,simple,Fourniture matériaux neufs,1.53
Revêtements murs et plafonds,Peinture,1 couche peinture solvant,m²,simple,Pose matériaux neufs,0.12
Revêtements murs et plafonds,Peinture,1 couche peinture solvant,m²,simple,Pose + fourniture,1.64
Revêtements murs et plafonds,Peinture,1 couche peinture solvant,m²,simple,Dépose + fourniture + pose,1.69
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture solvant,m²,composée,Dépose matériaux sinistrés,0.07
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture solvant,m²,composée,Fourniture matériaux neufs,2.2
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture solvant,m²,composée,Pose matériaux neufs,0.18
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture solvant,m²,composée,Pose + fourniture,2.38
Revêtements murs et plafonds,Peinture,Couche d'impression + 2 couches peinture solvant,m²,composée,Dépose + fourniture + pose,2.45
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture solvant,m²,composée,Dépose matériaux sinistrés,3.51
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture solvant,m²,composée,Fourniture matériaux neufs,8.67
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture solvant,m²,composée,Pose matériaux neufs,3.62
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture solvant,m²,composée,Pose + fourniture,8.85
Revêtements murs et plafonds,Peinture,Préparation du support + couche d'impression + 2 couches peinture solvant,m²,composée,Dépose + fourniture + pose,8.92
Revêtements murs et plafonds,Peinture,1 couche vernis ou lasure,m²,simple,Dépose matériaux sinistrés,0.02
Revêtements murs et plafonds,Peinture,1 couche vernis ou lasure,m²,simple,Fourniture matériaux neufs,1.05
Revêtements murs et plafonds,Peinture,1 couche vernis ou lasure,m²,simple,Pose matériaux neufs,0.12
Revêtements murs et plafonds,Peinture,1 couche vernis ou lasure,m²,simple,Pose + fourniture,1.17
Revêtements murs et plafonds,Peinture,1 couche vernis ou lasure,m²,simple,Dépose + fourniture + pose,1.19
Revêtements murs et plafonds,Peinture,2 couche vernis ou lasure,m²,composée,Dépose matériaux sinistrés,0.05
Revêtements murs et plafonds,Peinture,2 couche vernis ou lasure,m²,composée,Fourniture matériaux neufs,2.1
Revêtements murs et plafonds,Peinture,2 couche vernis ou lasure,m²,composée,Pose matériaux neufs,0.24
Revêtements murs et plafonds,Peinture,2 couche vernis ou lasure,m²,composée,Pose + fourniture,2.34
Revêtements murs et plafonds,Peinture,2 couche vernis ou lasure,m²,composée,Dépose + fourniture + pose,2.38
Revêtements murs et plafonds,Peinture,3 couche vernis ou lasure,m²,composée,Dépose matériaux sinistrés,0.05
Revêtements murs et plafonds,Peinture,3 couche vernis ou lasure,m²,composée,Fourniture matériaux neufs,2.1
Revêtements murs et plafonds,Peinture,3 couche vernis ou lasure,m²,composée,Pose matériaux neufs,0.24
Revêtements murs et plafonds,Peinture,3 couche vernis ou lasure,m²,composée,Pose + fourniture,2.34
Revêtements murs et plafonds,Peinture,3 couche vernis ou lasure,m²,composée,Dépose + fourniture + pose,2.38
Revêtements murs et plafonds,Peinture,Peinture sur canalisations,m²,simple,Dépose matériaux sinistrés,0.02
Revêtements murs et plafonds,Peinture,Peinture sur canalisations,m²,simple,Fourniture matériaux neufs,0.76
Revêtements murs et plafonds,Peinture,Peinture sur canalisations,m²,simple,Pose matériaux neufs,0.06
Revêtements murs et plafonds,Peinture,Peinture sur canalisations,m²,simple,Pose + fourniture,0.82
Revêtements murs et plafonds,Peinture,Peinture sur canalisations,m²,simple,Dépose + fourniture + pose,0.84
Revêtements murs et plafonds,Peinture,Enduit décoratif,m²,simple,Dépose matériaux sinistrés,0.1
Revêtements murs et plafonds,Peinture,Enduit décoratif,m²,simple,Fourniture matériaux neufs,0.71
Revêtements murs et plafonds,Peinture,Enduit décoratif,m²,simple,Pose matériaux neufs,0.13
Revêtements murs et plafonds,Peinture,Enduit décoratif,m²,simple,Pose + fourniture,0.84
Revêtements murs et plafonds,Peinture,Enduit décoratif,m²,simple,Dépose + fourniture + pose,0.94
